seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log,cluster
ecac1d9cea,14,1297.35,1,1.0,0.0,1,1297.35,14.0,7.168849506524821,2.70805020110221,0
ecac635209,46,530.5,1,1.0,0.0,1,530.5,46.0,6.275703197782002,3.8501476017100575,0
ecae05fe47,4,175.5,1,1.0,0.0,1,175.5,4.0,5.173320876373351,1.6094379124341005,0
ecaf4cb802,1,9000.0,1,0.0,0.0,1,9000.0,1.0,9.105090961257083,0.6931471805599453,2
ecaf8a2baa,1,31999.0,1,0.0,0.0,1,31999.0,1.0,10.373491181781864,0.6931471805599453,2
ecafd3a774,16,396.75,1,1.0,0.0,1,396.75,16.0,5.985823667217896,2.833213344056216,0
ecb008882f,1,520.0,1,1.0,0.0,1,520.0,1.0,6.255750041753367,0.6931471805599453,0
ecb060b73a,21,299.0,1,1.0,0.0,1,299.0,21.0,5.703782474656201,3.091042453358316,0
ecb44638d7,3,520.0,1,0.0,0.0,1,520.0,3.0,6.255750041753367,1.3862943611198906,2
ecb5f8197a,1,499.0,1,1.0,0.0,1,499.0,1.0,6.214608098422191,0.6931471805599453,0
ecb68cb67f,317,68.0,1,1.0,0.0,1,68.0,317.0,4.23410650459726,5.762051382780177,0
ecb6dad352,465,982.9816666666668,1,1.0,0.0,6,982.9816666666668,465.0,6.891607265442372,6.144185634125646,0
ecb89a19e2,66,2056949.5,2,1.0,0.0,3,60062.99999999974,66.0,11.00316593938623,4.204692619390966,1
ecba0ce2c4,61,283.0,1,1.0,0.0,3,283.0,61.0,5.648974238161206,4.127134385045092,0
ecbb3c5536,1,650.0,1,0.0,0.0,1,650.0,1.0,6.478509642208569,0.6931471805599453,2
ecbb6af6c5,383,611.1166666666667,2,1.0,0.0,1,611.1166666666667,383.0,6.416922896152671,5.950642552587727,1
ecbc5025bc,250,409.66,1,1.0,0.0,1,409.66,250.0,6.017765621527353,5.525452939131784,0
ecbdbc7bd9,190,295.0,1,1.0,0.0,1,295.0,190.0,5.69035945432406,5.25227342804663,0
ecbe4cebc2,2,700.0,1,1.0,0.0,1,700.0,2.0,6.55250788703459,1.0986122886681098,0
ecbfdc8b85,663,671.19,1,1.0,0.0,1,671.19,663.0,6.510541038655505,6.498282149476434,0
ecc08a83cd,1,99999.0,1,1.0,0.0,1,60062.99999999974,1.0,11.00316593938623,0.6931471805599453,0
ecc16650e2,50,350.0,1,1.0,0.0,1,350.0,50.0,5.860786223465865,3.9318256327243257,0
