seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log
ced5e7b7c8,242,175.46333333333334,1,1.0,0.0,3,175.46333333333334,242.0,5.173113111637835,5.493061443340548
ced67033b8,150,440.0575,1,1.0,0.0,2,440.0575,150.0,6.089175252434925,5.017279836814924
ced6b0c112,100,396.94,1,1.0,0.0,1,396.94,100.0,5.986301240151102,4.61512051684126
ced87f2c55,31,267.3225,2,1.0,0.0,4,267.3225,31.0,5.592189615264648,3.4657359027997265
ced9d0aff6,1100,163.3025,1,1.0,0.0,4,163.3025,1100.0,5.1017092409956275,7.00397413672268
ceda3003ca,1,4350.0,1,1.0,0.0,1,4350.0,1.0,8.37816098272068,0.6931471805599453
cedabf7943,171,432.0,2,1.0,0.0,1,432.0,171.0,6.07073772800249,5.147494476813453
cedb238963,2,299.0,1,1.0,0.0,1,299.0,2.0,5.703782474656201,1.0986122886681098
cedbdc4e77,178,768.0,2,1.0,0.0,1,768.0,178.0,6.645090969505644,5.187385805840755
cedc0277c5,36,1594.5,1,1.0,0.0,2,1594.5,36.0,7.374942445718299,3.6109179126442243
cedc0d843d,1,299.0,1,0.0,0.0,1,299.0,1.0,5.703782474656201,0.6931471805599453
cedc37f8eb,9,3680.0,1,1.0,0.0,1,3680.0,9.0,8.210939733379021,2.302585092994046
cede034fdc,1,15000.0,1,0.0,0.0,1,15000.0,1.0,9.61587214452889,0.6931471805599453
cee24d4f6e,100,392.83,1,1.0,0.0,1,392.83,100.0,5.975919344105853,4.61512051684126
cee26bd58e,148,774.7211111111111,2,1.0,0.0,7,774.7211111111111,148.0,6.653793062688061,5.003946305945459
cee4279aa0,327,179.375,1,1.0,0.0,1,179.375,327.0,5.195038017094035,5.793013608384144
cee64c65c0,1,1800.0,1,0.0,0.0,1,1800.0,1.0,7.496097345175956,0.6931471805599453
cee67a79a9,2,439.0,1,1.0,0.0,1,439.0,2.0,6.0867747269123065,1.0986122886681098
cee67f7b94,1,4000.0,1,0.0,0.0,1,4000.0,1.0,8.294299608857235,0.6931471805599453
cee6dd44cb,332,382.515,2,1.0,0.0,16,382.515,332.0,5.949378733471344,5.808142489980444
cee786514a,5,330.0,1,1.0,0.0,1,330.0,5.0,5.802118375377063,1.791759469228055
cee7ae96df,3,14250.0,1,1.0,0.0,2,14250.0,3.0,9.564582358673212,1.3862943611198906
cee8973b0d,1,1600.0,1,0.0,0.0,1,1600.0,1.0,7.3783837129967145,0.6931471805599453
ceecaa6a82,98,142.0,1,1.0,0.0,1,142.0,98.0,4.962844630259907,4.59511985013459
cef13f37e7,0,1038.25,1,1.0,0.0,1,1038.25,0.0,6.946254578132747,0.0
cef175999c,2,134.5,1,0.0,0.0,1,134.5,2.0,4.908971640319756,1.0986122886681098
cef244cdbf,1,350.0,1,0.0,0.0,1,350.0,1.0,5.860786223465865,0.6931471805599453
cef351eb6f,3,1656.82,1,1.0,0.0,1,1656.82,3.0,7.413258765266099,1.3862943611198906
cef358930f,68,104.5,1,1.0,0.0,1,104.5,68.0,4.658710952916121,4.23410650459726
cef83e644d,13,619.0,1,1.0,0.0,2,619.0,13.0,6.429719478039138,2.6390573296152584
cefb618c93,82,717.38,1,1.0,0.0,1,717.38,82.0,6.576998676956808,4.418840607796598
cefb7027cc,48,6069.083333333333,2,1.0,0.0,1,6069.083333333333,48.0,8.711127612679789,3.8918202981106265
cefd74983b,15,497.0,1,1.0,0.0,1,497.0,15.0,6.210600077024653,2.772588722239781
cefe5157a0,404,209.195,1,1.0,0.0,2,209.195,404.0,5.34803567129029,6.003887067106539
cf009c4511,83,229.6,1,1.0,0.0,1,229.6,83.0,5.440684607834958,4.430816798843313
